holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume
None,287.65,0.00,0.00,72,Clouds,scattered clouds,2012-10-06 16:00:00,2480
None,282.75,0.00,0.00,19,Clear,sky is clear,2012-10-06 17:00:00,1729
None,282.09,2.21,0.00,79,Rain,moderate rain,2012-10-06 18:00:00,1758
None,281.36,0.00,0.00,17,Clear,sky is clear,2012-10-06 19:00:00,1331
None,279.27,0.00,0.00,13,Clear,sky is clear,2012-10-06 20:00:00,1423
None,278.92,6.58,0.00,62,Rain,light rain,2012-10-06 21:00:00,1145
None,277.84,0.00,2.34,54,Snow,light snow,2012-10-06 22:00:00,679
None,276.85,0.00,0.00,64,Clouds,broken clouds,2012-10-06 23:00:00,513
None,275.64,0.00,0.00,80,Clouds,scattered clouds,2012-10-07 00:00:00,728
None,277.89,0.00,0.00,49,Mist,mist,2012-10-07 01:00:00,377
None,276.76,1.25,0.00,96,Rain,light rain,2012-10-07 02:00:00,891
None,274.91,0.00,0.00,98,Clouds,scattered clouds,2012-10-07 03:00:00,1085
None,277.28,0.00,0.00,14,Clear,sky is clear,2012-10-07 04:00:00,944
None,276.18,0.00,0.00,20,Clear,sky is clear,2012-10-07 05:00:00,1243
None,278.90,0.00,0.00,38,Haze,haze,2012-10-07 06:00:00,915
None,278.95,6.93,0.00,98,Rain,moderate rain,2012-10-07 07:00:00,1244
None,280.56,1.83,0.00,76,Rain,light rain,2012-10-07 08:00:00,1776
None,278.16,5.21,0.00,88,Rain,moderate rain,2012-10-07 09:00:00,1130
None,281.22,0.00,1.08,83,Snow,light snow,2012-10-07 10:00:00,1762
None,284.19,0.00,0.00,9,Clear,sky is clear,2012-10-07 11:00:00,2063
None,284.44,5.43,0.00,95,Rain,light rain,2012-10-07 12:00:00,2287
None,281.74,0.00,0.00,77,Clouds,scattered clouds,2012-10-07 13:00:00,2592
None,282.28,0.00,0.00,60,Clouds,broken clouds,2012-10-07 14:00:00,2499
None,286.58,3.33,0.00,62,Rain,light rain,2012-10-07 15:00:00,1810
None,283.54,0.00,0.00,66,Clouds,scattered clouds,2012-10-07 16:00:00,2196
None,286.50,0.00,0.00,13,Clear,sky is clear,2012-10-07 17:00:00,1946
None,287.72,0.00,0.00,3,Clear,sky is clear,2012-10-07 18:00:00,1407
None,282.30,0.00,0.00,14,Clear,sky is clear,2012-10-07 19:00:00,1882
None,279.18,0.00,0.00,18,Clear,sky is clear,2012-10-07 20:00:00,1703
None,282.37,0.00,0.00,4,Clear,sky is clear,2012-10-07 21:00:00,858
None,276.65,0.00,0.00,62,Fog,fog,2012-10-07 22:00:00,771
None,280.71,0.00,0.00,87,Clouds,scattered clouds,2012-10-07 23:00:00,878
None,278.74,0.00,0.00,68,Clouds,scattered clouds,2012-10-08 00:00:00,543
None,280.15,0.00,0.00,69,Clouds,broken clouds,2012-10-08 01:00:00,632
None,279.74,0.00,0.00,14,Clear,sky is clear,2012-10-08 02:00:00,1040
None,275.27,0.00,0.00,10,Clear,sky is clear,2012-10-08 03:00:00,675
None,279.81,0.00,0.00,81,Clouds,scattered clouds,2012-10-08 04:00:00,1318
None,277.93,0.00,0.00,65,Clouds,scattered clouds,2012-10-08 05:00:00,1978
None,278.17,0.00,0.00,15,Clear,sky is clear,2012-10-08 06:00:00,3368
None,278.41,0.00,0.00,77,Clouds,broken clouds,2012-10-08 07:00:00,3605
None,283.45,0.00,0.00,13,Clear,sky is clear,2012-10-08 08:00:00,2949
None,279.99,0.00,0.00,15,Clear,sky is clear,2012-10-08 09:00:00,2763
None,281.93,0.00,0.00,13,Clear,sky is clear,2012-10-08 10:00:00,2722
None,280.58,0.00,0.00,41,Clouds,broken clouds,2012-10-08 11:00:00,2616
None,283.23,0.00,0.80,97,Snow,heavy snow,2012-10-08 12:00:00,2289
None,283.01,0.00,0.00,11,Clear,sky is clear,2012-10-08 13:00:00,3264
None,286.12,0.00,0.00,19,Clear,sky is clear,2012-10-08 14:00:00,3491
None,283.66,0.00,0.00,47,Clouds,scattered clouds,2012-10-08 15:00:00,3970
None,282.06,0.00,0.00,54,Clouds,broken clouds,2012-10-08 16:00:00,4394
None,284.88,0.00,0.00,8,Clear,sky is clear,2012-10-08 17:00:00,4476
None,285.68,0.00,0.00,7,Clear,sky is clear,2012-10-08 18:00:00,3838
None,283.04,0.00,0.00,14,Clear,sky is clear,2012-10-08 19:00:00,2318
None,281.13,0.00,0.00,12,Clear,sky is clear,2012-10-08 20:00:00,1505
None,280.45,0.00,0.00,94,Clouds,scattered clouds,2012-10-08 21:00:00,943
None,278.75,0.00,0.00,54,Clouds,scattered clouds,2012-10-08 22:00:00,1039
None,277.86,0.00,0.00,62,Clouds,scattered clouds,2012-10-08 23:00:00,819
None,275.62,0.00,0.00,20,Clear,sky is clear,2012-10-09 00:00:00,580
None,277.82,7.40,0.00,100,Rain,light rain,2012-10-09 01:00:00,444
None,274.51,0.00,0.00,8,Clear,sky is clear,2012-10-09 02:00:00,882
None,279.02,0.00,0.00,44,Clouds,scattered clouds,2012-10-09 03:00:00,930
None,273.95,0.00,0.00,68,Clouds,scattered clouds,2012-10-09 04:00:00,988
None,278.10,0.00,0.00,91,Clouds,scattered clouds,2012-10-09 05:00:00,1843
None,278.35,0.00,0.00,14,Clear,sky is clear,2012-10-09 06:00:00,3059
None,276.53,0.00,3.43,91,Snow,light snow,2012-10-09 07:00:00,2267
None,279.43,0.00,0.00,95,Clouds,broken clouds,2012-10-09 08:00:00,3667
None,278.07,0.00,0.00,12,Clear,sky is clear,2012-10-09 09:00:00,3236
None,281.08,0.00,0.00,82,Clouds,scattered clouds,2012-10-09 10:00:00,2413
None,284.86,0.00,0.00,61,Clouds,scattered clouds,2012-10-09 11:00:00,2743
None,284.49,0.00,0.00,17,Clear,sky is clear,2012-10-09 12:00:00,2871
None,285.94,1.38,0.00,70,Rain,light rain,2012-10-09 13:00:00,2864
None,287.71,0.00,0.00,54,Clouds,broken clouds,2012-10-09 14:00:00,3392
None,286.13,0.00,0.00,68,Clouds,scattered clouds,2012-10-09 15:00:00,3726
None,283.98,0.00,0.00,91,Clouds,scattered clouds,2012-10-09 16:00:00,4430
None,286.40,0.00,0.00,85,Clouds,scattered clouds,2012-10-09 17:00:00,4161
None,281.70,0.00,0.00,13,Clear,sky is clear,2012-10-09 18:00:00,3724
None,285.38,0.00,0.00,7,Clear,sky is clear,2012-10-09 19:00:00,2639
None,283.73,0.00,3.98,80,Snow,heavy snow,2012-10-09 20:00:00,947
None,277.89,0.00,0.00,56,Clouds,scattered clouds,2012-10-09 21:00:00,820
None,277.05,0.00,0.00,59,Clouds,scattered clouds,2012-10-09 22:00:00,1100
None,278.22,7.25,0.00,61,Rain,light rain,2012-10-09 23:00:00,797
None,280.19,0.00,0.00,18,Clear,sky is clear,2012-10-10 00:00:00,805
None,279.91,0.00,0.00,31,Mist,mist,2012-10-10 01:00:00,855
None,278.81,0.00,0.00,62,Clouds,scattered clouds,2012-10-10 02:00:00,802
None,277.59,0.00,0.00,48,Clouds,scattered clouds,2012-10-10 03:00:00,525
None,278.76,0.00,0.00,80,Clouds,scattered clouds,2012-10-10 04:00:00,826
None,278.99,0.00,0.00,89,Mist,mist,2012-10-10 05:00:00,1664
None,277.78,5.21,0.00,63,Rain,light rain,2012-10-10 06:00:00,2607
None,277.41,0.00,0.00,12,Clear,sky is clear,2012-10-10 07:00:00,3660
None,276.55,0.00,3.66,61,Snow,heavy snow,2012-10-10 08:00:00,1865
None,280.54,0.00,0.00,13,Clear,sky is clear,2012-10-10 09:00:00,2999
None,277.92,0.00,1.45,75,Snow,light snow,2012-10-10 10:00:00,2517
None,286.96,0.00,0.00,14,Clear,sky is clear,2012-10-10 11:00:00,2804
None,282.06,0.00,0.00,19,Clear,sky is clear,2012-10-10 12:00:00,3146
None,285.85,0.00,0.00,10,Clear,sky is clear,2012-10-10 13:00:00,3327
None,280.62,0.00,0.00,3,Clear,sky is clear,2012-10-10 14:00:00,3395
None,287.16,0.00,0.00,3,Clear,sky is clear,2012-10-10 15:00:00,3779
None,287.59,0.00,0.00,10,Clear,sky is clear,2012-10-10 16:00:00,4541
None,284.25,0.00,0.00,20,Clear,sky is clear,2012-10-10 17:00:00,4483
None,284.17,2.95,0.00,89,Rain,light rain,2012-10-10 18:00:00,3216
None,286.34,0.00,0.00,16,Clear,sky is clear,2012-10-10 19:00:00,2553
None,279.31,0.00,0.00,48,Clouds,scattered clouds,2012-10-10 20:00:00,1748
None,277.14,0.00,0.00,39,Mist,mist,2012-10-10 21:00:00,1216
None,280.86,0.00,2.64,66,Snow,heavy snow,2012-10-10 22:00:00,1099
None,278.48,0.00,0.00,50,Clouds,scattered clouds,2012-10-10 23:00:00,782
None,279.80,0.00,0.00,42,Clouds,scattered clouds,2012-10-11 00:00:00,687
None,277.56,4.62,0.00,61,Rain,light rain,2012-10-11 01:00:00,832
None,273.69,0.00,0.00,74,Mist,mist,2012-10-11 02:00:00,798
None,277.93,0.00,0.00,95,Clouds,scattered clouds,2012-10-11 03:00:00,1169
None,275.52,0.00,0.00,10,Clear,sky is clear,2012-10-11 04:00:00,1323
None,282.27,0.00,0.00,19,Clear,sky is clear,2012-10-11 05:00:00,1945
None,277.02,0.00,0.00,72,Clouds,scattered clouds,2012-10-11 06:00:00,3168
None,281.38,0.00,0.00,7,Clear,sky is clear,2012-10-11 07:00:00,3433
None,282.27,0.00,0.00,58,Clouds,scattered clouds,2012-10-11 08:00:00,3107
None,280.98,0.00,0.00,12,Clear,sky is clear,2012-10-11 09:00:00,2979
None,281.45,0.00,0.00,16,Clear,sky is clear,2012-10-11 10:00:00,2539
None,283.77,0.00,0.00,90,Clouds,scattered clouds,2012-10-11 11:00:00,2793
None,282.36,0.00,0.00,1,Clear,sky is clear,2012-10-11 12:00:00,2821
None,281.98,0.00,0.00,48,Clouds,scattered clouds,2012-10-11 13:00:00,3247
None,284.90,0.00,0.00,56,Haze,haze,2012-10-11 14:00:00,2943
None,283.12,7.84,0.00,100,Rain,light rain,2012-10-11 15:00:00,3935
None,285.44,5.80,0.00,70,Rain,light rain,2012-10-11 16:00:00,3716
None,285.26,0.00,0.00,18,Clear,sky is clear,2012-10-11 17:00:00,4213
None,282.82,0.00,0.00,16,Clear,sky is clear,2012-10-11 18:00:00,3718
None,282.49,0.00,0.00,60,Clouds,broken clouds,2012-10-11 19:00:00,2298
None,279.73,0.00,0.00,91,Clouds,scattered clouds,2012-10-11 20:00:00,1588
None,279.72,0.00,0.00,9,Clear,sky is clear,2012-10-11 21:00:00,1637
None,277.57,0.00,0.00,58,Clouds,scattered clouds,2012-10-11 22:00:00,959
None,277.70,0.00,3.89,68,Snow,light snow,2012-10-11 23:00:00,785
None,278.30,0.00,0.00,57,Clouds,broken clouds,2012-10-12 00:00:00,650
None,276.41,0.00,0.00,54,Clouds,scattered clouds,2012-10-12 01:00:00,722
None,274.31,0.00,0.00,4,Clear,sky is clear,2012-10-12 02:00:00,879
None,274.28,0.00,3.80,91,Snow,light snow,2012-10-12 03:00:00,553
None,274.16,0.00,0.00,98,Clouds,scattered clouds,2012-10-12 04:00:00,1041
None,281.39,0.00,3.96,52,Snow,heavy snow,2012-10-12 05:00:00,1342
None,277.20,0.00,3.24,82,Snow,heavy snow,2012-10-12 06:00:00,2332
None,278.81,0.00,0.00,5,Clear,sky is clear,2012-10-12 07:00:00,3205
None,281.89,7.19,0.00,80,Rain,light rain,2012-10-12 08:00:00,3137
None,280.48,0.00,0.00,8,Clear,sky is clear,2012-10-12 09:00:00,2918
None,282.13,0.00,0.00,20,Clear,sky is clear,2012-10-12 10:00:00,2535
None,281.19,0.00,0.00,9,Clear,sky is clear,2012-10-12 11:00:00,2867
None,284.89,0.00,0.00,15,Clear,sky is clear,2012-10-12 12:00:00,3499
None,287.49,0.00,0.00,88,Clouds,broken clouds,2012-10-12 13:00:00,2974
None,282.59,2.96,0.00,63,Rain,light rain,2012-10-12 14:00:00,3013
None,284.01,0.00,0.00,3,Clear,sky is clear,2012-10-12 15:00:00,4142
None,284.38,0.00,0.75,53,Snow,light snow,2012-10-12 16:00:00,3307
None,281.69,0.00,0.00,77,Clouds,broken clouds,2012-10-12 17:00:00,4606
None,288.65,0.00,0.00,2,Clear,sky is clear,2012-10-12 18:00:00,3622
None,283.70,5.20,0.00,84,Rain,light rain,2012-10-12 19:00:00,1581
None,286.16,0.00,0.00,4,Clear,sky is clear,2012-10-12 20:00:00,1545
None,280.95,0.00,0.00,88,Clouds,scattered clouds,2012-10-12 21:00:00,982
None,276.47,0.00,0.00,69,Clouds,scattered clouds,2012-10-12 22:00:00,842
None,279.20,0.00,3.33,65,Snow,light snow,2012-10-12 23:00:00,535
None,276.41,0.00,0.00,7,Clear,sky is clear,2012-10-13 00:00:00,412
None,278.13,0.00,0.00,16,Clear,sky is clear,2012-10-13 01:00:00,757
None,276.46,0.00,0.00,96,Clouds,scattered clouds,2012-10-13 02:00:00,659
None,281.67,0.00,0.00,5,Clear,sky is clear,2012-10-13 03:00:00,1061
None,275.62,0.00,0.00,39,Mist,mist,2012-10-13 04:00:00,480
None,277.77,0.00,0.00,91,Clouds,scattered clouds,2012-10-13 05:00:00,1158
None,279.31,0.00,0.00,61,Clouds,scattered clouds,2012-10-13 06:00:00,1254
None,279.46,0.00,0.00,83,Clouds,scattered clouds,2012-10-13 07:00:00,1249
None,280.35,0.00,0.00,17,Clear,sky is clear,2012-10-13 08:00:00,1187
None,282.31,0.00,0.00,6,Clear,sky is clear,2012-10-13 09:00:00,1715
None,281.11,0.00,0.00,7,Clear,sky is clear,2012-10-13 10:00:00,1969
None,282.16,0.00,0.00,96,Clouds,scattered clouds,2012-10-13 11:00:00,2420
None,286.35,0.00,0.00,60,Clouds,scattered clouds,2012-10-13 12:00:00,2032
None,287.14,0.00,0.00,77,Clouds,broken clouds,2012-10-13 13:00:00,2528
None,283.65,0.00,0.00,17,Clear,sky is clear,2012-10-13 14:00:00,2374
None,283.69,0.00,0.00,38,Mist,mist,2012-10-13 15:00:00,1915
None,282.25,0.00,0.39,92,Snow,light snow,2012-10-13 16:00:00,1262
None,284.98,0.17,0.00,83,Rain,moderate rain,2012-10-13 17:00:00,2032
None,283.79,0.00,2.71,83,Snow,light snow,2012-10-13 18:00:00,1189
None,284.31,0.00,0.00,5,Clear,sky is clear,2012-10-13 19:00:00,1008
None,282.16,0.00,0.00,45,Clouds,scattered clouds,2012-10-13 20:00:00,1338
None,281.61,0.00,0.00,44,Haze,haze,2012-10-13 21:00:00,1261
None,281.34,0.00,0.00,15,Clear,sky is clear,2012-10-13 22:00:00,922
None,283.34,0.00,0.00,86,Mist,mist,2012-10-13 23:00:00,702
None,277.67,0.00,2.76,51,Snow,heavy snow,2012-10-14 00:00:00,431
None,277.04,0.00,0.00,76,Clouds,broken clouds,2012-10-14 01:00:00,866
None,275.38,0.00,0.00,90,Clouds,broken clouds,2012-10-14 02:00:00,776
None,277.24,0.00,0.00,19,Clear,sky is clear,2012-10-14 03:00:00,948
None,276.37,0.00,0.00,15,Clear,sky is clear,2012-10-14 04:00:00,1596
None,276.01,0.00,0.00,19,Clear,sky is clear,2012-10-14 05:00:00,891
None,277.65,0.00,0.00,12,Clear,sky is clear,2012-10-14 06:00:00,829
None,278.14,0.00,0.00,4,Clear,sky is clear,2012-10-14 07:00:00,1447
None,280.81,0.00,0.00,45,Clouds,scattered clouds,2012-10-14 08:00:00,1596
None,280.64,0.00,0.00,2,Clear,sky is clear,2012-10-14 09:00:00,2008
None,282.95,0.00,0.00,71,Clouds,broken clouds,2012-10-14 10:00:00,2212
None,282.35,0.00,0.00,8,Clear,sky is clear,2012-10-14 11:00:00,2297
None,282.94,0.00,0.00,100,Clouds,scattered clouds,2012-10-14 12:00:00,2475
None,283.75,6.54,0.00,68,Rain,light rain,2012-10-14 13:00:00,2435
None,285.90,0.00,0.00,58,Clouds,scattered clouds,2012-10-14 14:00:00,2643
None,284.49,0.00,0.00,11,Clear,sky is clear,2012-10-14 15:00:00,2667
None,280.31,0.00,0.00,100,Clouds,broken clouds,2012-10-14 16:00:00,1891
None,286.11,0.00,0.00,83,Clouds,broken clouds,2012-10-14 17:00:00,1441
None,285.17,0.00,0.00,12,Clear,sky is clear,2012-10-14 18:00:00,1729
None,286.73,0.00,0.00,74,Clouds,scattered clouds,2012-10-14 19:00:00,1107
None,278.50,0.96,0.00,82,Rain,light rain,2012-10-14 20:00:00,730
None,278.00,0.00,0.00,90,Clouds,scattered clouds,2012-10-14 21:00:00,544
None,280.06,0.00,0.00,18,Clear,sky is clear,2012-10-14 22:00:00,633
None,278.73,0.00,0.00,70,Clouds,broken clouds,2012-10-14 23:00:00,744
None,279.35,0.00,0.00,9,Clear,sky is clear,2012-10-15 00:00:00,758
None,280.30,0.00,0.00,14,Clear,sky is clear,2012-10-15 01:00:00,1010
None,278.97,0.00,0.00,5,Clear,sky is clear,2012-10-15 02:00:00,563
None,275.16,0.00,0.00,12,Clear,sky is clear,2012-10-15 03:00:00,990
None,276.96,0.00,0.00,14,Clear,sky is clear,2012-10-15 04:00:00,664
None,277.74,0.00,0.00,2,Clear,sky is clear,2012-10-15 05:00:00,1379
None,280.57,0.00,0.00,15,Clear,sky is clear,2012-10-15 06:00:00,3038
None,280.55,0.00,0.00,14,Clear,sky is clear,2012-10-15 07:00:00,3656
None,277.59,0.00,1.63,61,Snow,light snow,2012-10-15 08:00:00,2075
None,282.42,0.00,0.00,5,Clear,sky is clear,2012-10-15 09:00:00,2934
None,282.75,0.00,1.52,89,Snow,heavy snow,2012-10-15 10:00:00,2141
None,283.82,0.00,0.00,72,Clouds,scattered clouds,2012-10-15 11:00:00,2925
None,282.84,0.00,0.00,41,Clouds,broken clouds,2012-10-15 12:00:00,3001
None,285.70,0.00,0.00,75,Clouds,scattered clouds,2012-10-15 13:00:00,3379
None,285.86,6.60,0.00,88,Rain,light rain,2012-10-15 14:00:00,2952
None,285.21,0.00,0.00,68,Clouds,broken clouds,2012-10-15 15:00:00,4355
None,288.47,0.00,0.00,7,Clear,sky is clear,2012-10-15 16:00:00,4352
None,282.12,0.00,0.00,92,Clouds,scattered clouds,2012-10-15 17:00:00,4493
None,282.26,0.00,0.00,9,Clear,sky is clear,2012-10-15 18:00:00,3594
None,282.77,0.00,0.00,81,Fog,fog,2012-10-15 19:00:00,2319
None,283.26,0.00,0.00,7,Clear,sky is clear,2012-10-15 20:00:00,1800
None,279.27,0.00,0.00,20,Clear,sky is clear,2012-10-15 21:00:00,1261
None,281.69,0.00,0.00,60,Clouds,broken clouds,2012-10-15 22:00:00,755
None,278.89,0.00,0.00,94,Clouds,broken clouds,2012-10-15 23:00:00,604
None,279.38,0.00,0.00,65,Mist,mist,2012-10-16 00:00:00,518
None,276.00,0.00,0.00,42,Clouds,scattered clouds,2012-10-16 01:00:00,1084
None,278.35,0.00,0.00,14,Clear,sky is clear,2012-10-16 02:00:00,766
None,275.85,0.00,4.40,66,Snow,light snow,2012-10-16 03:00:00,1108
None,275.93,0.00,0.00,7,Clear,sky is clear,2012-10-16 04:00:00,1232
